id_risp,id_aisp,id_cisp,id_municipio,unidade_territorial,regiao
1,16,38,3304557,Brás de Pina (parte); Cordovil; Jardim América; Parada de Lucas;Penha Circular (parte) e Vigário Geral,Metropolitana
1,16,22,3304557,Brás de Pina (parte); Olaria; Penha e Penha Circular (parte),Metropolitana
1,17,37,3304557,Bancários; Cacuia; Cidade Universitária; Cocotá; Freguesia; Galeão; Jardim Carioca; Jardim Guanabara; Moneró; Pitangueiras; Portuguesa; Praia da Bandeira; Ribeira; Tauá e Zumbi,Metropolitana
1,19,12,3304557,Copacabana (parte) e Leme,Metropolitana
1,19,13,3304557,Copacabana (parte),Metropolitana
1,2,10,3304557,Botafogo; Humaitá e Urca,Metropolitana
1,2,9,3304557,Catete; Cosme Velho; Flamengo; Glória e Laranjeiras,Metropolitana
1,22,21,3304557,Benfica; Bonsucesso; Higienópolis; Manguinhos; Maré e Ramos,Metropolitana
1,23,15,3304557,Gávea; Jardim Botânico; Lagoa; São Conrado e Vidigal,Metropolitana
1,23,14,3304557,Ipanema e Leblon,Metropolitana
1,23,11,3304557,Rocinha,Metropolitana
1,3,24,3304557,Abolição; Água Santa (parte); Encantado; Engenho de Dentro (parte); Pilares e Piedade,Metropolitana
1,3,25,3304557,Engenho Novo; Jacaré; Jacarezinho; Riachuelo; Rocha; Sampaio e São Francisco Xavier,Metropolitana
1,3,26,3304557,Água Santa (parte); Engenho de Dentro (parte); Lins de Vasconcelos e Todos os Santos,Metropolitana
1,3,23,3304557,Cachambi; Méier (parte) e Todos os Santos (parte),Metropolitana
1,3,44,3304557,Del Castilho; Engenho da Rainha; Inhaúma; Maria da Graça e Tomás Coelho,Metropolitana
1,4,6,3304557,Catumbi; Cidade Nova; Estácio; Rio Comprido e Centro (parte),Metropolitana
1,4,17,3304557,Caju; Mangueira; São Cristóvão e Vasco da Gama,Metropolitana
1,5,7,3304557,Santa Teresa,Metropolitana
1,5,4,3304557,Centro (parte); Gamboa; Santo Cristo e Saúde,Metropolitana
1,5,1,3304557,Centro (parte),Metropolitana
1,5,5,3304557,Centro (parte); Lapa e Paquetá,Metropolitana
1,6,20,3304557,Andaraí; Grajaú e Vila Isabel,Metropolitana
1,6,19,3304557,Alto da Boa Vista e Tijuca (parte),Metropolitana
1,6,18,3304557,Maracanã; Praça da Bandeira e Tijuca (parte),Metropolitana
2,14,33,3304557,Campo dos Afonsos; Deodoro; Jardim Sulacap; Magalhães Bastos; Realengo e Vila Militar,Metropolitana
2,14,34,3304557,Bangu; Gericinó; Padre Miguel e Senador Camará,Metropolitana
2,18,41,3304557,Freguesia (Jacarepaguá); Pechincha e Tanque (parte),Metropolitana
2,18,32,3304557,Anil; Cidade de Deus; Curicica; Gardênia Azul; Jacarepaguá e Taquara,Metropolitana
2,18,28,3304557,Vila Valqueire; Praça Seca e Tanque (parte),Metropolitana
2,27,43,3304557,Guaratiba; Pedra de Guaratiba e Sepetiba,Metropolitana
2,27,36,3304557,Paciência e Santa Cruz,Metropolitana
2,31,16,3304557,Barra da Tijuca; Itanhangá; Joá,Metropolitana
2,31,42,3304557,Recreio dos Bandeirantes; Barra de Guaratiba; Camorim; Grumari; Vargem Grande e Vargem Pequena,Metropolitana
2,40,35,3304557,Campo Grande; Cosmos; Inhoaíba; Santíssimo e Senador Vasconcelos,Metropolitana
2,41,31,3304557,Anchieta; Guadalupe; Parque Anchieta e Ricardo de Albuquerque,Metropolitana
2,41,27,3304557,Colégio (parte); Irajá; Vicente de Carvalho; Vila Kosmos; Vila da Penha e Vista Alegre,Metropolitana
2,41,39,3304557,Acari; Barros Filho; Costa Barros; Parque Colúmbia e Pavuna,Metropolitana
2,9,30,3304557,Bento Ribeiro; Campinho; Marechal Hermes e Oswaldo Cruz (parte),Metropolitana
2,9,40,3304557,Coelho Neto; Colégio (parte); Honório Gurgel e Rocha Miranda,Metropolitana
2,9,29,3304557,Cavalcanti; Engenheiro Leal; Madureira; Turiaçu; Vaz Lobo; Oswaldo Cruz (parte); Cascadura e Quintino Bocaiúva,Metropolitana
3,15,60,3301702,Campos Elyseos,Metropolitana
3,15,62,3301702,Imbariê,Metropolitana
3,15,61,3301702,Xerém,Metropolitana
3,15,59,3301702,Duque de Caxias (Centro),Metropolitana
3,20,56,3303500,Comendador Soares; Cabuçú e Km32,Metropolitana
3,20,52,3303500,Centro,Metropolitana
3,20,53,3302858,Mesquita; Chatuba e Banco de Areia,Metropolitana
3,20,57,3303203,Nilópolis e Olinda,Metropolitana
3,20,58,3303500,Posse; Austin; Miguel Couto; Vila de Cava e Tinguá,Metropolitana
3,21,64,3305109,São João de Meriti; Coelho da Rocha e São Mateus,Metropolitana
3,24,51,3303609,Paracambi,Metropolitana
3,24,55,3304144,Centro; Norte; Sul. Leste; Oeste e Nordeste,Metropolitana
3,24,50,3302007,Itaguaí e Ibituporanga,Metropolitana
3,24,63,3302270,Japeri; Engenheiro Pedreira; Marajoara; Pedra Lisa e Rio D`Ouro,Metropolitana
3,24,48,3305554,Seropédica,Metropolitana
3,34,66,3302502,Inhomirim e Guia de Copaíba,Metropolitana
3,34,65,3302502,Magé; Santo Aleixo e Suruí,Metropolitana
3,34,67,3301850,Guapimirim,Metropolitana
3,39,54,3300456,Areia Branca; Jardim Redentor; Parque São José; Nova Aurora e Lote XV,Metropolitana
4,12,79,3303302,Jurujuba; Charitas; São Francisco; Cachoeiras; Maceió; Largo da Batalha; Ititioca; Badu; Sapê; Matapaca; Vila Progresso; Muriqui; Maria Paula e Cantagalo,Metropolitana
4,12,76,3303302,Centro; Ponta da Areia; Ilha da Conceição; São Lourenço; Fátima; Morro do Estado; Ingá; São Domingos; Gragoatá e Boa Viagem,Metropolitana
4,12,77,3303302,Santa Rosa; Icaraí; Vital Brasil; Pé Pequeno; Viradouro e Cubango,Metropolitana
4,12,81,3303302,Itaipu; Camboinhas; Itacoatiara; Piratininga; Cafubá; Jacaré; Rio do Ouro; Engenho do Mato; Várzea das Moças e Jardim Imbuí,Metropolitana
4,12,78,3303302,Fonseca; Viçoso Jardim; Caramujo; Baldeador; Santa Bárbara; Tenente Jardim; Engenhoca; Santana e Barreto,Metropolitana
4,12,82,3302700,Maricá e Inoã,Metropolitana
4,25,127,3300233,Armação dos Búzios,Baixadas Litorâneas
4,25,125,3305208,São Pedro da Aldeia,Baixadas Litorâneas
4,25,132,3300258,Arraial do Cabo,Baixadas Litorâneas
